"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"

151,"1","2026-04-18T17:38:53.702219Z",151,5.421,"Negative","Yeah, this product is just amazing… not.","2026-04-18T17:38:53.702219Z"

152,"1","2026-04-18T17:39:01.695146Z",152,5.159,"Positive","It works, I guess.","2026-04-18T17:39:01.695146Z"

153,"1","2026-04-18T17:39:10.412768Z",153,5.94,"Negative","Great, another thing that stopped working after a day.","2026-04-18T17:39:10.412768Z"

154,"1","2026-04-18T17:39:16.997452Z",154,4.091,"Negative","I love how it fails every time I use it.","2026-04-18T17:39:16.997452Z"

155,"1","2026-04-18T17:39:30.785499Z",155,11.067,"Positive","It’s fine if you don’t expect much.","2026-04-18T17:39:30.785499Z"

156,"1","2026-04-18T17:39:43.197114Z",156,9.504,"Negative","Well, it didn’t completely break, so that’s something.","2026-04-18T17:39:43.197114Z"

157,"1","2026-04-18T17:40:00.232497Z",157,13.218,"Negative","Absolutely fantastic… if you enjoy wasting money.","2026-04-18T17:40:00.232497Z"

158,"1","2026-04-18T17:40:09.947995Z",158,7.024,"Positive","It does the job, but barely.","2026-04-18T17:40:09.947995Z"

159,"1","2026-04-18T17:40:25.182600Z",159,9.731,"Negative","I mean, it works… sometimes.","2026-04-18T17:40:25.182600Z"

160,"1","2026-04-18T17:40:34.147084Z",160,6.154,"Negative","Best purchase ever… said no one.","2026-04-18T17:40:34.147084Z"

161,"1","2026-04-18T17:40:42.427026Z",161,5.708,"Negative","It’s not the worst thing I’ve bought.","2026-04-18T17:40:42.427026Z"

162,"1","2026-04-18T17:40:49.848078Z",162,4.918,"Positive","Surprisingly, it actually works.","2026-04-18T17:40:49.849075Z"

163,"1","2026-04-18T17:40:57.933844Z",163,5.396,"Negative","I had low expectations, and it still disappointed me.","2026-04-18T17:40:57.933844Z"

164,"1","2026-04-18T17:41:07.474480Z",164,6.857,"Positive","It’s okay, I’ve seen worse.","2026-04-18T17:41:07.474480Z"

165,"1","2026-04-18T17:41:14.626571Z",165,3.779,"Positive","I guess it’s usable.","2026-04-18T17:41:14.626571Z"

166,"1","2026-04-18T17:41:26.319811Z",166,5.159,"Negative","Wow, it broke already. Impressive.","2026-04-18T17:41:26.319811Z"

167,"1","2026-04-18T17:41:34.566242Z",167,5.03,"Negative","It works, just not when you need it.","2026-04-18T17:41:34.566242Z"

168,"1","2026-04-18T17:41:43.088818Z",168,5.719,"Positive","Honestly, I expected it to be worse.","2026-04-18T17:41:43.088818Z"

169,"1","2026-04-18T17:41:53.211021Z",169,7.135,"Positive","Not bad, but not good either.","2026-04-18T17:41:53.211021Z"

170,"1","2026-04-18T17:42:02.917642Z",170,6.46,"Negative","I’m not mad, just disappointed.","2026-04-18T17:42:02.917642Z"

171,"1","2026-04-18T17:42:10.191129Z",171,3.948,"Positive","It’s decent, I suppose.","2026-04-18T17:42:10.191129Z"

172,"1","2026-04-18T17:42:37.395495Z",172,20.313,"Positive","It’s good enough if you’re desperate.","2026-04-18T17:42:37.395495Z"

173,"1","2026-04-18T17:42:44.943315Z",173,3.851,"Positive","I wouldn’t say it’s terrible.","2026-04-18T17:42:44.943315Z"

174,"1","2026-04-18T17:42:51.855855Z",174,4.033,"Positive","It kind of does what it should.","2026-04-18T17:42:51.855855Z"

175,"1","2026-04-18T17:43:06.688184Z",175,6.924,"Negative","Amazing quality… for a toy product.","2026-04-18T17:43:06.688184Z"

176,"1","2026-04-18T17:43:19.610013Z",176,9.873,"Positive","It’s acceptable, I guess.","2026-04-18T17:43:19.610013Z"

177,"1","2026-04-18T17:43:36.546804Z",177,14.334,"Negative","Not exactly what I wanted, but it works.","2026-04-18T17:43:36.546804Z"

178,"1","2026-04-18T17:43:47.500291Z",178,5.391,"Negative","I can’t say I’m impressed.","2026-04-18T17:43:47.500291Z"

179,"1","2026-04-18T17:43:58.350404Z",179,6.462,"Negative","It’s usable, but frustrating.","2026-04-18T17:43:58.350404Z"

180,"1","2026-04-18T17:44:18.435110Z",180,16.198,"Negative","Well, at least it arrived.","2026-04-18T17:44:18.435110Z"

